Product ID,ERP Product Family,Product Description,Product Bulletin ID,Product Bulletin URL,End of Sale Date,End of Security/Vulnerability ,Last Date of Support
7206VXR/NPE-G1,7200,7206VXR with NPE-G1 includes 3GigE/FE/E Ports and IP SW,EOL7772,http://www.cisco.com/en/US/prod/collateral/routers/ps341/end_of_life_c51-682450.html,2/27/12,N/A,2/28/17
7206VXR/NPE-G2,7200,7206VXR with NPE-G2 includes 3GigE/FE/E Ports and IP SW,EOL7682,http://www.cisco.com/en/US/prod/collateral/routers/ps341/end_of_life_c51-681414.html,9/29/12,N/A,9/30/17
7600-ES+20G3C,7600,"^7600 ES+ Line Card, 20xGE SFP with DFC 3C",EOL10361,http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eos-eol-notice-c51-735517.html,7/24/16,N/A,7/31/21
7600-ES+20G3CXL,7600,"^7600 ES+ Line Card, 20xGE SFP with DFC 3CXL",EOL10361,http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eos-eol-notice-c51-735517.html,7/24/16,N/A,7/31/21
7600-ES+40G3CXL,7600,"^7600 ES+ Line Card, 40xGE SFP with DFC 3CXL",EOL10361,http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eos-eol-notice-c51-735517.html,7/24/16,N/A,7/31/21
7600-ES+4TG3C,7600,"^7600 ES+ Line Card, 4x10GE XFP with DFC 3C",EOL7283,http://www.cisco.com/en/US/prod/collateral/vpndevc/ps5707/ps8418/ps6128/eol_c51-658768.html,11/29/11,11/28/14,11/30/16
7600-ES+4TG3CXL,7600,"^7600 ES+ Line Card, 4x10GE XFP with DFC 3CXL",EOL7283,http://www.cisco.com/en/US/prod/collateral/vpndevc/ps5707/ps8418/ps6128/eol_c51-658768.html,11/29/11,11/28/14,11/30/16
7600-SIP-200,7600,^Cisco 7600 Series SPA Interface Processor-200,EOL9917,http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eos-eol-notice-c51-733146.html,4/20/15,N/A,4/30/20
7600-SIP-400,7600,^Cisco 7600 Series SPA Interface Processor-400,EOL10361,http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eos-eol-notice-c51-735517.html,7/24/16,N/A,7/31/21
76-ES+XT-4TG3C,7600,"^7600 ES+XT, LAN/WAN PHY, OTN/G.709, 4x10GE, XFP, DFC3C",EOL10361,http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eos-eol-notice-c51-735517.html,7/24/16,N/A,7/31/21
